product_rating,product_price,product_name
3.6,"₹3,799","Nexian NV-45 (Black, 8 GB)"
4,₹799,Kechaoda K10
3.3,"₹2,050",Micromax Bharat 1 V409
,₹999,Forme Duos1900
,₹999,Forme Duos1900
3.4,₹699,Forme Teddy T2
4.4,"₹11,990","Vivo Y93 (Starry Black, 64 GB)"
4.2,"₹15,999","Mi A2 (Gold, 128 GB)"
,₹999,Itel It2171
,₹999,Itel It2171
4.6,"₹52,499","Google Pixel 3 (Just Black, 64 GB)"
4.6,"₹58,999","Google Pixel 3 (Just Black, 128 GB)"
4.6,"₹58,999","Google Pixel 3 (Clearly White, 128 GB)"
3.7,"₹1,195",Forme D59
4.2,₹895,Forme Surprise S11
4,"₹1,288",Forme Winner 6
4,₹929,Kechaoda K66 Plus
3.7,₹890,Forme S 11
4.3,"₹11,999","Moto X4 (Sterling Blue, 64 GB)"
4.2,"₹1,790",Easyfone Udaan
4.4,₹910,Itel it2172
4.4,₹910,Itel it2172
3.6,₹747,Forme HERO
4.3,"₹7,595","Moto E5 (Fine Gold, 16 GB)"
3.5,₹737,Forme F510
4.2,"₹1,014",Itel It 5022
4.2,"₹1,014",Itel It 5022
4.5,"₹9,499","Realme 2 (Diamond Red, 32 GB)"
4.5,"₹9,499","Realme 2 (Diamond Black, 32 GB)"
4.5,"₹9,499","Realme 2 (Diamond Blue, 32 GB)"
3.9,₹929,Kechaoda K116 Plus
3.6,"₹2,399",T-Max Innocent i452
3.6,"₹2,399",T-Max Innocent i452
3.6,"₹5,499","Itel A62 (Bordeaux Red, 16 GB)"
4.6,"₹48,999","Apple iPhone 7 (Rose Gold, 128 GB)"
3.5,₹888,Forme Forme Q600
3.5,₹649,1+1=2 D1
3,"₹1,159",Mafe Glow
3.5,"₹1,075",Peace P1 Combo of Two Mobiles
4.5,"₹38,999","Apple iPhone 7 (Silver, 32 GB)"
3.9,₹899,Fox Sultan
3.9,"₹1,167",Micromax X772
4.6,"₹52,499","Google Pixel 3 (Clearly White, 64 GB)"
3.6,"₹7,899","Mobiistar X1 Dual (Black, 32 GB)"
3.5,₹599,Rocktel R5
4.6,"₹20,999","POCO F1 by Xiaomi (Graphite Black, 128 GB)"
4.3,"₹9,990","Samsung Galaxy On Max (Black, 32 GB)"
3.9,₹899,Kechaoda A26
3.9,₹849,Detel D1
3.4,₹989,Mafe Blade
3.8,"₹6,499","Micromax Canvas 2 (Chrome Black, 16 GB)"
3.8,₹919,Zen X28
3.4,₹569,1+1=2 D2
4.4,"₹12,799","Realme U1 (Brave Blue, 64 GB)"
2.8,"₹1,125",Forme D555+
2.8,"₹1,045",Forme D555+
4.2,"₹1,499",Samsung Guru FM Plus
3.5,₹699,Forme K09
4.4,"₹6,999","Realme C1 (Navy Blue, 32 GB)"
4,₹737,Forme HERO
4.1,"₹8,990","Lenovo K8 Plus (Fine Gold, 32 GB)"
3.4,₹999,Forme W1+
4.1,"₹5,490","Gionee F205 (Black and Gold, 16 GB)"
4.2,"₹8,999","Nokia 3.1 Plus (White, 32 GB)"
4,"₹1,130",InFocus F229
3.7,"₹1,040",Forme Hope H1
3.7,"₹1,025",Forme Hope H1
3.8,"₹1,395",Forme Heart Candy
3.8,"₹1,395",Forme Heart Candy
3.6,₹788,Forme Love One
4.3,"₹9,955","Redmi 6 Pro (Black, 32 GB)"
4.1,₹895,Forme S10
4.1,₹895,Forme S10
3.8,"₹3,999","Lava Z50 (Black, 8 GB)"
3.9,₹845,Forme Winner W3
3.9,₹845,Forme Winner W3
3.7,₹549,Peace P1
4.4,"₹8,799","Tecno CAMON i Sky 3 (Champagne Gold, 32 GB)"
3.6,₹930,Forme S 60
3.4,₹649,1+1=2 D2
3,"₹1,049",Detel D1 Slim
4.6,"₹59,900","Apple iPhone XR ((PRODUCT)RED, 64 GB)"
4.4,"₹12,999","Honor 8C (Blue, 64 GB)"
4.5,"₹5,999","Redmi 5A (Rose Gold, 16 GB)"
4.5,"₹5,999","Redmi 5A (Blue, 16 GB)"
4.4,"₹6,999","Redmi 5A (Blue, 32 GB)"
4.4,"₹6,999","Redmi 5A (Rose Gold, 32 GB)"
4.4,"₹6,999","Redmi 5A (Gold, 32 GB)"
4.5,"₹5,999","Redmi 5A (Gold, 16 GB)"
4.5,"₹5,999","Redmi 5A (Grey, 16 GB)"
4,"₹5,499","Panasonic P101 (Gold, 16 GB)"
4.7,"₹57,990","Apple iPhone 8 (PRODUCT)RED (Red, 64 GB)"
4.2,"₹9,990","Vivo Y53 (Crown Gold, 16 GB)"
4.2,"₹9,990","Vivo Y53 (Space Grey, 16 GB)"
4.3,"₹7,999","Redmi 5 (Gold, 32 GB)"
4.1,"₹4,799","Karbonn K9 Smart Plus (Midnight Blue, 8 GB)"
4.1,"₹4,499","Karbonn K9 Smart Plus (Wine Red, 8 GB)"
4.1,"₹4,175","Karbonn K9 Smart Plus (Champagne, 8 GB)"
3.7,"₹1,729",GLX W8 Pack of Three Mobiles
3.2,₹669,1+1=2 D6
3.3,₹649,Gfive Classic
3.5,₹649,1+1=2 D1
3.6,₹899,Mafe Raga
3.9,"₹7,999","Gionee S11 Lite (Dark Blue, 32 GB)"
,₹999,Forme Duos1900
,₹999,Forme Duos1900
4.1,"₹8,999","Tecno Camon i4 (Champagne Gold, 32 GB)"
4.3,"₹11,990","Vivo Y69 (Gold, 32 GB)"
4.4,"₹6,999","Redmi 5A (Grey, 32 GB)"
,₹999,Forme M80
3.7,₹999,Forme M80
2.9,₹599,BlackZone B310
3.6,₹639,GLX W22
3.5,₹649,"Forme N9+ Selfie Camera , Wireless FM, Dual SIM (Black) Moile Phone"
3.2,"₹1,395",Forme S900
3.2,"₹1,395",Forme S900
4,₹739,Mafe Guru
3.9,"₹1,019",Kechaoda K28
3.7,₹639,GLX W5
3.7,₹639,GLX W5
3.7,₹639,GLX W5
3.8,₹858,Zen X66
4.2,"₹1,014",Itel It 5022
3.4,₹680,Snexian Bold 2252
3.6,"₹7,499","Asus Zenfone Go 4.5 LTE (Red, 8 GB)"
3.9,"₹4,149","Zen Admire Unity (Gold, 8 GB)"
3.9,"₹3,499","BLU Studio G HD (Grey, 8 GB)"
4.3,"₹1,129",Mafe Logan
3.6,"₹1,129",Mafe Logan
3.8,₹999,Jivi Banana 6
4.2,"₹7,590","Vivo Y53i (Crown Gold, 16 GB)"
4.5,"₹10,999","Redmi Note 5 Pro (Blue, 64 GB)"
3.6,₹649,"Forme N9+ Selfie Camera, Wireless FM, Dual SIM (Blue) Moile Phone"
4.4,"₹12,999","Motorola One Power (Black, 64 GB)"
3.8,₹999,Winstar C1
4.1,"₹6,699","Tecno Camon i ACE 2 (Midnight Blue, 32 GB)"
3.7,₹820,Kechaoda K6
3.9,₹997,Kechaoda K28
3.7,₹810,Zen Atom 103
3.7,₹810,Zen Atom 103
4.6,"₹64,790","Apple iPhone XR (White, 128 GB)"
3.7,₹639,GLX W5
4.3,"₹1,199",GLX U505 Combo of Two Mobiles
4.4,"₹10,490","Samsung Galaxy J6 (Blue, 32 GB)"
4,"₹1,390",Kechaoda K60
3.5,₹745,Forme Queen K08
3.8,"₹1,192",Zen Z28
3.9,₹765,Forme Cute C1
3.9,₹707,Forme Cute C1
3.6,"₹2,399",T-Max Innocent i452
4.1,₹675,Gfive Audi
4.3,"₹9,499","Redmi 5 (Lake Blue, 32 GB)"
4.3,"₹9,650","Redmi 5 (Rose Gold, 64 GB)"
4.3,"₹10,499","Redmi 6 Pro (Gold, 64 GB)"
4.4,"₹18,890","Honor 8X (Blue, 128 GB)"
3.5,₹999,Gfive Alpha
4.3,₹899,Zen X53 Beat
4.5,"₹17,999","Apple iPhone SE (Silver, 32 GB)"
4.3,"₹11,999","Realme 1 (Silver, 64 GB)"
4.4,"₹12,799","Realme 1 (Solar Red, Red, 128 GB)"
4.2,"₹13,699","Nokia 5.1 Plus (Black, 64 GB)"
3.4,"₹1,340",Karbonn Sound Wave
4.5,"₹10,999","Redmi Note 5 Pro (Red, 64 GB)"
4.5,"₹17,999","Apple iPhone SE (Space Grey, 32 GB)"
4.3,"₹17,990","Huawei Nova 3i (Black, 128 GB)"
3.7,₹999,I Kall K31 Pack of Two Mobile
4,₹849,Tambo A2200
3.9,"₹6,699","Mobiistar X1 Notch (Midnight Black, 16 GB)"
4,"₹24,990","Sony Xperia XA Ultra Dual (Graphite Black, 16 GB)"
3.8,₹999,I Kall K19 New Combo of Two Mobiles
3.5,₹710,BlackBear B5 Chrome
4.1,"₹1,399",Itel Magic 1
4.5,"₹27,990","OPPO F7 (Red, 128 GB)"
4.5,"₹27,990","OPPO F7 (Black, 128 GB)"
4,"₹1,379",InFocus F229
2.9,₹747,Forme K-10
2.9,₹747,Forme K-10
4.1,"₹4,999","Lava Z61 (Gold, 16 GB)"
3.9,"₹3,599","InFocus A2 (Champagne Gold, 8 GB)"
3.8,"₹1,015",Itel It 5605n
4.1,"₹8,999","Honor Holly 4 (Grey, 32 GB)"
4.2,"₹15,490","Mi A2 (Black, 128 GB)"
3.7,"₹1,079",Karbonn K9 Staar
3.4,₹944,Chilli B39
4.1,₹949,Intex Turbo i14
3.6,₹499,I Kall K20 New
3.8,₹858,Zen X66
3.8,"₹1,250",Micromax X601
,"₹1,199",Cellecor C500
3.6,₹830,Detel D30
3.8,₹690,Mafe Nemo
4.1,"₹7,999","Lenovo K8 Plus (Venom Black, 32 GB)"
3.5,₹965,Karbonn K490+
3.8,"₹4,999","Asus Zenfone Go (Silver, 8 GB)"
3.7,₹639,GLX W8
3.8,₹999,BlackZone Vodka
3.4,₹999,I Kall K31 Combo of Two Mobile
3.4,₹999,I Kall K31 Combo of Two Mobile
3.8,"₹1,048",Micromax X603
3.5,"₹3,299","Karbonn A9 Indian 4G VoLTE (Champagne, 8 GB)"
3.9,"₹1,155",Zen Power 205
3,"₹2,599","Karbonn Alfa A91 Power (Champagne, 512 MB)"
3.7,₹899,Winstar W10
4.1,₹747,Forme K08
3.6,"₹1,239",JIVI N3333
3.7,₹999,Forme M660
3.8,₹669,1+1=2 D3
4.2,"₹11,999","Redmi Y1 (Grey, 64 GB)"
3.4,₹999,Gfive Hero
3.4,₹999,Gfive Hero
3.4,₹999,Gfive Hero
4.3,"₹7,999","Asus Zenfone Max Pro M1 (Black, 32 GB)"
4.2,"₹8,999","Moto G (2nd Generation) (Black, 16 GB)"
4.3,"₹10,925","Redmi 6 Pro (Red, 64 GB)"
4.3,"₹10,488","Redmi 6 Pro (Rose Gold, 64 GB)"
4.6,"₹68,999","Apple iPhone 8 Plus (Space Grey, 64 GB)"
4.5,"₹40,000","LG G7+ ThinQ (Black, 128 GB)"
4,₹849,Jivi X93 Grand
3.8,"₹4,999","Panasonic P90 (Black, 16 GB)"
4.2,"₹14,990","Vivo Y66 (Crown Gold, 32 GB)"
4.2,"₹14,990","Vivo Y66 (Matte Black, 32 GB)"
3.9,₹899,Winstar L6
3.8,"₹3,999","Itel A23 (Starry Blue, 8 GB)"
4,"₹9,299","Lenovo K6 Note (Grey/Dark Grey, 32 GB)"
3.8,"₹6,799","XOLO A550S IPS (Black, 4 GB)"
3.5,₹655,Forme D8+ Camera with Flash
3.5,"₹3,699","Coolpad Mega 5M (Sky Blue, 16 GB)"
3.6,₹999,Intex Eco
,"₹1,199",Cellecor C500
3.2,₹769,Mafe Nemo
4.3,"₹1,289",Muphone M330
3.7,₹889,Ziox Zelfie
3.5,₹899,Reach Star R2401 Selfie
3.8,"₹1,569",Muphone M390
3.9,"₹19,999","Nextbit Robin (Ember, 32 GB)"
3.5,"₹1,075",Peace P1 Combo of Two Mobiles
4.3,"₹9,999","Honor 9 Lite (Midnight Black, 64 GB)"
4.3,"₹9,999","Honor 9 Lite (Sapphire Blue, 64 GB)"
3.6,"₹7,499","Asus Zenfone Go 4.5 LTE (Silver, Blue, 8 GB)"
3.8,"₹3,999","Itel A23 (Phantom Black, 8 GB)"
3.3,"₹4,024","Micromax Bolt Q323 (Grey, 4 GB)"
3.7,"₹5,549","Micromax HUE2 (White, Gold, 16 GB)"
4.2,₹999,Itel It 5022
3.7,"₹1,039",Zen M90
3.5,"₹3,099","Karbonn A9 Indian 4G VoLTE (White & Champagne, 8 GB)"
,"₹1,149",Inovu A1s Combo of Two Mobiles
